url,label
http://example.com,benign
https://google.com,benign
http://malicious-login.biz,malicious
http://phishing-bank-secure.net,phishing
http://spam-offers.ru,spam
https://safe-site.org,benign
http://botnet-control-panel.cc,botnet
https://legit-shop.com,legit
http://update-security-check.info,phishing
http://free-gift-card-now.co,spam
https://university.edu,benign
http://malicious-downloads.cn,malicious
http://secure-verify-account.com,phishing
https://good-company.com,legitimate
http://suspicious-bot-host.net,botnet
https://docs.safe-cloud.io,good
http://fake-support-center.io,phishing
http://malware-dropper.xyz,malicious
https://newsportal.com,benign
http://unsafe-ad-network.biz,spam
